DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/18/2016,8:00,QUEENS,11433,40.6969,-73.79816,"(40.6969, -73.79816)",,,106-34    156 STREET                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3484861,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,8:00,BROOKLYN,11225,40.6708,-73.95871,"(40.6708, -73.95871)",,,302       EASTERN PARKWAY               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3466777,PASSENGER VEHICLE,,,,
06/18/2016,7:53,BROOKLYN,11212,40.657246,-73.91243,"(40.657246, -73.91243)",HERZL STREET                    ,LOTT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3463753,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,7:50,BROOKLYN,11233,40.672455,-73.91621,"(40.672455, -73.91621)",,,1808      PROSPECT PLACE                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3501819,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/18/2016,7:45,QUEENS,11422,40.665257,-73.735344,"(40.665257, -73.735344)",SOUTH CONDUIT AVENUE            ,FRANCIS LEWIS BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3463318,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,7:45,QUEENS,11385,40.70732,-73.91139,"(40.70732, -73.91139)",,,1874      HARMAN STREET                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3484870,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,7:41,,,40.878742,-73.87255,"(40.878742, -73.87255)",EAST GUN HILL ROAD              ,,,0,0,0,0,0,0,0,0,Following Too Closely,Other Vehicular,,,,3465847,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
06/18/2016,7:30,,,,,,CROSS BRONX EXPY                ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3463198,PASSENGER VEHICLE,,,,
06/18/2016,7:30,,,40.773415,-73.89737,"(40.773415, -73.89737)",47 STREET                       ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3465413,PASSENGER VEHICLE,OTHER,,,
06/18/2016,7:30,BROOKLYN,11231,40.68332,-73.99,"(40.68332, -73.99)",BUTLER STREET                   ,HOYT STREET,,0,0,0,0,0,0,0,0,Steering Failure,Unspecified,Unspecified,Unspecified,,3463775,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
